shooting_type,age_group,race,sex,lat,lng
nonlethal,35,POC,Male,33.8457,-118.3066
lethal,25,POC,Male,34.0909,-118.2893
nonlethal,25,POC,Male,33.7315,-118.2805
nonlethal,20,POC,Male,33.746,-118.2835
nonlethal,20,White,Male,34.0508,-118.4351
nonlethal,15,POC,Male,34.0999,-118.3594
lethal,25,POC,Male,34.044,-118.3415
nonlethal,25,POC,Male,34.0626,-118.447
nonlethal,25,POC,Male,33.7894,-118.248
nonlethal,35,POC,Male,34.0374,-118.374
nonlethal,20,POC,Male,33.8163,-118.3046
nonlethal,35,POC,Male,34.0909,-118.2961
nonlethal,20,POC,Male,33.8163,-118.3046
nonlethal,30,POC,Male,33.7315,-118.2805
nonlethal,35,POC,Male,34.1769,-118.5384
lethal,35,POC,Male,33.7424,-118.2857
nonlethal,30,POC,Male,34.1859,-118.4662
nonlethal,20,POC,Female,33.9455,-118.309
nonlethal,55,POC,Male,33.9711,-118.2917
nonlethal,45,POC,Female,33.9913,-118.2446
nonlethal,20,POC,Male,33.9698,-118.2833
nonlethal,25,POC,Male,33.9902,-118.2521
nonlethal,15,POC,Male,34.2661,-118.4221
nonlethal,20,POC,Male,34.2756,-118.4218
nonlethal,18,POC,Male,33.9842,-118.4713
nonlethal,25,POC,Male,34.1325,-118.3974
nonlethal,20,POC,Male,33.9646,-118.2673
nonlethal,30,POC,Male,34.2141,-118.3604
lethal,30,POC,Female,34.0211,-118.274
nonlethal,25,POC,Male,34.244,-118.5583
lethal,45,POC,Male,34.0145,-118.2432
nonlethal,30,POC,Male,34.1392,-118.2085
lethal,25,POC,Female,34.1412,-118.3681
nonlethal,18,POC,Male,34.0081,-118.2495
lethal,25,POC,Male,34.0332,-118.2477
nonlethal,45,POC,Female,33.9782,-118.2914
nonlethal,20,POC,Male,33.9764,-118.2871
nonlethal,35,POC,Female,33.9564,-118.3079
nonlethal,25,POC,Male,33.9965,-118.283
lethal,25,POC,Male,34.2346,-118.3784
nonlethal,30,POC,Male,34.2366,-118.4872
nonlethal,25,POC,Male,33.9624,-118.2883
lethal,30,POC,Male,34.0082,-118.2652
nonlethal,30,POC,Male,33.9785,-118.309
nonlethal,25,POC,Male,34.2569,-118.413
nonlethal,20,POC,Male,33.9482,-118.234
nonlethal,25,POC,Male,33.9545,-118.309
nonlethal,45,POC,Male,34.0202,-118.2505
